"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SYNGR2",6.08076719302072e-180,-1.00523416986614,0.941,0.991,9.82226324688637e-176
"ACTG1",1.47283119118059e-138,-1.00372158296992,0.98,0.996,2.379064223114e-134
"TNIP1",1.95636091823241e-133,1.58267702553242,0.921,0.727,3.16010979122082e-129
"SAMSN1",2.53385697848358e-126,1.34819372931318,0.949,0.799,4.09293917734453e-122
"STK4",5.05474646437025e-119,-1.02097317511507,0.527,0.891,8.16493196389726e-115
"RBBP6",8.75482397134801e-119,1.03500711872933,0.965,0.879,1.41416671609184e-114
"RBM39",1.79301067926706e-118,0.826257051073093,0.98,0.929,2.89625015022008e-114
"SAFB2",7.37182116687915e-113,1.08412094531486,0.861,0.611,1.19077027308599e-108
"USP12",1.90770905892982e-112,0.988285316129291,0.963,0.839,3.08152244288933e-108
"CTSC",6.77458222504582e-111,-1.17737715389204,0.622,0.906,1.09429826681165e-106
"PRRC2C",1.08222833786524e-106,-1.0062425074963,0.463,0.843,1.74812343415372e-102
"SELPLG",2.89321761254568e-105,-1.08893517932597,0.471,0.834,4.67341440954504e-101
"SNRPB2",6.43049986706626e-103,0.87880829591038,0.898,0.707,1.03871864352721e-98
"LCP1",6.58049169192734e-103,-0.984221411995765,0.82,0.956,1.06294682299702e-98
"COPS9",1.59702209614061e-96,0.782882478121021,0.925,0.806,2.57966979189593e-92
"RYBP",2.81190106526868e-93,0.967755523051258,0.761,0.402,4.5420637907285e-89
"ARPC5",4.13689395046951e-89,-0.799763929009981,0.882,0.953,6.6823247981934e-85
"OSTF1",2.50113580266537e-88,0.602715312943862,0.989,0.974,4.04008466204538e-84
"PAK2",1.05030342835827e-87,-0.771010146420644,0.404,0.759,1.69655512782712e-83
"MTDH",5.1567368163478e-87,0.756533048103609,0.968,0.929,8.3296769794466e-83
"HNRNPM",3.57196033551289e-84,0.741996385176872,0.936,0.844,5.76978752995397e-80
"RBM25",8.7481865621565e-84,0.785097388019148,0.942,0.853,1.41309457538514e-79
"LY75",1.77386589130372e-83,-0.985433046745312,0.474,0.793,2.8653255742229e-79
"EFHD2",3.80508581713913e-80,0.85281167838215,0.926,0.812,6.14635512042483e-76
"POMP",5.07259155411677e-80,0.68509888344889,0.933,0.813,8.19375713736483e-76
"EIF4G2",1.35587762666233e-79,0.740713000618569,0.979,0.951,2.19014913034766e-75
"IFRD1",1.82449467834149e-79,0.894816907870478,0.76,0.501,2.94710625392501e-75
"ARPP19",1.44456711728574e-77,0.686802545412459,0.805,0.544,2.33340926455166e-73
"MAPK6",1.77810569451738e-76,0.783840124514496,0.793,0.505,2.87217412835392e-72
"SRRM1",2.70868085833623e-76,0.637054242650354,0.966,0.932,4.37533219047051e-72
"BMP2K",3.2627035470774e-76,-0.76828704672158,0.405,0.753,5.27024503959412e-72
"ARPC4",8.1425237924404e-74,-0.838208470638118,0.563,0.793,1.3152618681929e-69
"SNX3",1.0871866820159e-73,-0.726407333963074,0.383,0.719,1.75613264746029e-69
"DYNLL2",2.70534731843878e-72,0.953124398855118,0.826,0.61,4.36994752347417e-68
"RIPK2",9.52291030054289e-72,0.774283456258102,0.676,0.369,1.53823570084669e-67
"LAMP3",3.18054460421459e-71,-0.778525688125024,0.766,0.894,5.13753369918782e-67
"NUCKS1",5.53530857516134e-71,-0.745798060398256,0.364,0.694,8.94118394145811e-67
"RTN3",6.7506039636101e-71,-0.675636272293202,0.803,0.937,1.09042505824194e-66
"BCL2A1",1.08556657044596e-70,1.04255266325978,0.969,0.936,1.75351568124135e-66
"SRSF5",1.51815313651656e-70,0.551199940690511,0.99,0.964,2.45227276141521e-66
"TBC1D4",2.03877996934891e-70,0.572472108692584,0.991,0.979,3.2932412844893e-66
"PRPF4B",2.97516550725013e-70,0.680468999962178,0.964,0.875,4.80578484386114e-66
"ANXA2",5.5125874095057e-70,-0.822941323305709,0.626,0.862,8.90448244257456e-66
"SNRPC",2.78844900180804e-69,0.652828939717273,0.914,0.801,4.50418167262052e-65
"JAK1",3.04777802492803e-69,-0.69725699826335,0.797,0.939,4.92307584366624e-65
"PSMA6",1.15180152114035e-67,0.672563679420572,0.871,0.748,1.86050499709801e-63
"RABGEF1",7.32384074336895e-67,0.763881618642504,0.729,0.448,1.18301999527639e-62
"RPL38",8.32679760304651e-66,0.391460923327712,0.993,0.984,1.3450276168201e-61
"AZIN1",2.16488560651618e-65,0.670866651035755,0.698,0.394,3.49693972020558e-61
"COA3",5.0079109539853e-65,-0.553161065830569,0.196,0.526,8.08927856397246e-61
"CORO1A",8.40354493680871e-65,-0.756416287148693,0.729,0.863,1.35742461364271e-60
"LYN",2.40995787528367e-63,-0.735543144460444,0.836,0.944,3.89280495594571e-59
"DDX21",5.76517536311415e-63,0.669519798283608,0.838,0.686,9.31248776403829e-59
"PHACTR2",1.81721452515095e-62,-0.630782533263308,0.165,0.476,2.93534662247633e-58
"PFN1",7.52024149383747e-62,-0.641590168244506,0.978,0.981,1.21474460849957e-57
"PHACTR1",8.1758466432857e-62,0.747748391841986,0.805,0.563,1.32064450828994e-57
"SBNO1",1.26779752761763e-61,0.671257133026342,0.924,0.808,2.04787334636077e-57
"ND5",1.79496869427328e-61,0.549314294410127,0.998,0.986,2.89941293185964e-57
"CDC42EP4",7.27366768764924e-61,0.723463061655704,0.509,0.203,1.17491554158598e-56
"UBE2S",2.78061304255844e-60,0.74741159476984,0.743,0.546,4.49152424764465e-56
"VPS29",3.29504154962347e-60,0.663854812839605,0.82,0.609,5.32248061510679e-56
"PTGES3",3.89860010276928e-60,0.766299704830027,0.901,0.781,6.29740874600322e-56
"RTF1",4.5681232340959e-60,0.76534278608259,0.819,0.698,7.3788894600351e-56
"ILRUN",6.2034669663621e-60,0.839973773116023,0.834,0.606,1.00204601907647e-55
"ARID4B",7.63261044587987e-60,0.683795338708016,0.852,0.667,1.23289556532298e-55
"VAMP8",4.21165692170459e-59,-0.620643789331019,0.619,0.831,6.80308942562943e-55
"DPH3",4.46331679804464e-59,0.698840926529404,0.738,0.478,7.20959562388151e-55
"SF3B1",5.40297444132182e-59,0.515289830808834,0.975,0.947,8.72742461506714e-55
"GRB2",6.05072326130092e-59,0.690211835731506,0.862,0.688,9.77373328397938e-55
"CEP350",6.53499695731168e-59,-0.6557711965346,0.797,0.936,1.05559805851456e-54
"U2SURP",8.80744565545375e-59,0.559872654475596,0.938,0.831,1.42266669672544e-54
"SFPQ",1.20594425665888e-58,0.791575958997821,0.894,0.786,1.94796175778108e-54
"ISG15",1.28790846666448e-58,1.59546317120267,0.42,0.127,2.08035854620313e-54
"NUFIP1",6.54493918171701e-58,0.698938399124752,0.624,0.347,1.05720402602275e-53
"PRPF40A",7.58316333057624e-58,0.629767118696109,0.914,0.806,1.22490837278798e-53
"DAPP1",1.71408648682136e-57,-0.754816220243451,0.673,0.858,2.76876390216254e-53
"SF3B5",1.80513188144733e-57,0.678427004765681,0.933,0.878,2.91582952810187e-53
"TSPAN3",1.87092698481441e-57,-0.661461269101238,0.876,0.943,3.02210835857072e-53
"RAP1A",2.79536114844713e-57,-0.540719764398175,0.159,0.45,4.51534686308666e-53
"ENSBTAG00000004472",3.01323101063083e-57,0.747450851214995,0.672,0.413,4.86727205147198e-53
"TNFAIP8",4.10000612476729e-57,0.796139807811146,0.721,0.508,6.6227398933366e-53
"TPM4",3.63510566043406e-56,-0.68618251450203,0.618,0.827,5.87178617329914e-52
"MAP3K14",3.65460805791036e-56,-0.645769181479018,0.181,0.473,5.9032883959426e-52
"CORO1C",4.51336676109916e-56,-0.58363501690161,0.217,0.512,7.29044132920347e-52
"ZNF366",8.41559393468546e-56,-0.548723947242739,0.132,0.419,1.35937088826974e-51
"HSPA5",9.67949957485532e-56,0.789925791078213,0.928,0.856,1.56352956632638e-51
"FRG1",9.78723249123954e-56,0.64032119065425,0.792,0.6,1.58093166430992e-51
"PAK1IP1",1.51314185262833e-55,0.614643401389749,0.794,0.563,2.44417803455055e-51
"NDFIP1",1.68129662835014e-55,0.562544957582143,0.632,0.34,2.71579844377398e-51
"NFKBIB",3.01424599539023e-55,0.699107467815963,0.7,0.456,4.86891155635384e-51
"DNAJC8",1.17730483680167e-54,0.57882825079593,0.824,0.668,1.90170050288574e-50
"TRA2B",1.51336012099422e-54,0.687266451264296,0.852,0.706,2.44453060344196e-50
"TAX1BP3",2.8067339478069e-54,-0.520543640874153,0.136,0.41,4.53371734589248e-50
"CCR7",3.91418628462588e-54,-0.903234869515426,0.555,0.784,6.32258510555619e-50
"SREK1",6.08965493558954e-54,0.713366548287165,0.649,0.391,9.83661961745778e-50
"ANXA5",1.20790309766123e-53,-0.629161861378817,0.331,0.619,1.95112587365219e-49
"TAF3",1.40471083831247e-53,0.663716973259226,0.723,0.444,2.26902941712613e-49
"IRF2",2.48489944747048e-53,-0.551469601382471,0.233,0.544,4.01385807749906e-49
"ELL2",4.80536406044104e-53,0.630980109145654,0.611,0.319,7.76210456683041e-49
"SAP18",5.71414058214366e-53,0.563261797388367,0.941,0.881,9.23005128233665e-49
"REL",2.91484720508066e-52,0.544273412843406,0.937,0.825,4.70835269036678e-48
"FXR1",3.18799895278452e-52,0.49993437987412,0.928,0.84,5.14957470843283e-48
"EIF1AX",3.47218824890186e-52,0.678056455057455,0.848,0.733,5.60862567845117e-48
"SPI1",3.75497101659506e-52,-0.67367440241376,0.391,0.669,6.06540468310599e-48
"TRAF3",4.22517473134228e-52,0.726400564021044,0.733,0.515,6.82492474353718e-48
"BRD4",4.24127352713699e-52,-0.607734203922002,0.372,0.666,6.85092912838438e-48
"CD83",8.29419946752067e-52,0.500732260075593,0.992,0.973,1.33976203998861e-47
"UBE2B",1.19610919811695e-51,0.627907916408123,0.605,0.338,1.93207518771831e-47
"PIM1",2.43686457477792e-51,0.976386083654387,0.708,0.501,3.93626734763878e-47
"MOB1A",3.14688688531012e-51,0.567000924355275,0.866,0.701,5.08316638584143e-47
"UTP6",6.00007765262986e-51,0.618575657998065,0.816,0.605,9.69192543229301e-47
