"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TRA2B",5.41510317006836e-09,1.24874122341073,0.964,0.986,8.74701615061142e-05
"EPSTI1",5.68316987700779e-09,-1.61306365602407,0.393,0.959,9.18002430233068e-05
"HNRNPK",2.81079363862813e-08,0.873206860612192,1,0.946,0.000454027496447602
"EID1",1.07194728725676e-07,-1.03869128313633,0.393,0.838,0.00173151645310585
"DCTN6",1.07233523715896e-07,0.986638494809266,0.714,0.189,0.00173214310858287
"HNRNPM",1.27233767048354e-07,1.00895937811333,0.964,0.973,0.00205520703913207
"RBM39",1.91138219004149e-07,1.0506029489476,1,1,0.00308745565157402
"PLAC8B",2.03050859678561e-07,-1.22163217856418,0.964,0.986,0.0032798805363878
"EIF4G2",3.48151735749033e-07,1.02487590444408,0.964,0.973,0.00562369498755414
"IFRD1",4.87566180782576e-07,1.29323194805543,0.929,0.581,0.00787565651818095
"ATP5IF1",5.31857462049901e-07,-1.07655099910628,0.464,0.838,0.00859109358449205
"ARPC5",5.6844169748879e-07,-1.10037856246325,0.429,0.946,0.00918203873953643
"DEK",7.27834309191792e-07,-0.735483815146351,0.536,0.919,0.011756707596375
"STK26",1.16337077599444e-06,-0.992114764439699,0.107,0.649,0.0187919281446382
"SOD1",1.54126486665277e-06,-1.20667255772023,0.714,0.959,0.0248960513910422
"CSRNP1",2.02251017365427e-06,1.55649010423273,0.75,0.378,0.0326696068350375
"UBB",2.03085249547079e-06,1.06667510942127,1,1,0.0328043603593396
"COA3",2.12463325528915e-06,-0.901535439657262,0.071,0.622,0.0343192009726857
"ARPP19",3.14403547796482e-06,0.998548193673333,0.893,0.581,0.0507856050755657
"PTBP1",3.37020155648778e-06,0.98274385079841,0.964,0.77,0.0544388657419471
"BRD2",4.17381446294844e-06,1.13719747559747,0.964,0.824,0.0674196250200062
"TOMM20",4.17436909536789e-06,1.27123083923533,0.929,0.892,0.0674285839974775
"SARAF",4.93413267647338e-06,-0.849683941800023,0.643,0.959,0.0797010451230746
"FAU",5.61554911476521e-06,0.467664531033111,1,1,0.0907079648508024
"ANXA6",5.71231785012566e-06,-0.939449651407023,0.214,0.757,0.0922710702330798
"MTDH",5.81871215656936e-06,0.852455895164126,1,1,0.0939896574650649
"BLNK",6.33478294102635e-06,-1.39334100897642,0.464,0.838,0.102325748846399
"PIP5K1A",6.37165836362016e-06,0.750753498769841,0.786,0.351,0.102921397547556
"GRN",6.47127593467506e-06,-0.610556271857923,0.964,1,0.104530520172806
"H3-3B",6.47127593467506e-06,1.37900159118465,1,1,0.104530520172806
"SQSTM1",6.61604088795218e-06,1.13185430403926,0.964,0.865,0.106868908463092
"FUS",9.72896708206546e-06,0.79029909183895,0.964,0.784,0.157152005276603
"SERBP1",1.18727189656857e-05,-0.817689982530908,0.714,0.932,0.191780029452722
"HNRNPDL",1.2541635965285e-05,0.972527137094435,0.964,0.973,0.202585045747248
"EIF6",1.28473682486283e-05,-0.735239200211979,0.071,0.595,0.207523539320094
"PTGES3",1.38581739975494e-05,1.00130680201051,0.964,0.919,0.223851084582415
"IQGAP1",1.70907820805758e-05,-0.949022829257315,0.25,0.73,0.276067402947541
"HSP90AA1",1.95102848053388e-05,0.777376047953071,1,0.986,0.315149630460638
"ACTB",1.95102848053388e-05,-0.968355848071192,0.964,1,0.315149630460638
"PPP6C",2.1304481266906e-05,0.744911880529101,0.75,0.392,0.344131285904332
"SAFB2",2.2112946591848e-05,0.903896687695386,0.929,0.662,0.35719042629812
"EIF5",2.3848346616073e-05,0.898115870794849,0.964,1,0.385222342889426
"FNBP1",2.41064156160289e-05,-0.942803984262112,0.5,0.838,0.389390931445715
"XPO4",2.47074257019732e-05,1.01366272936658,0.821,0.541,0.399099047363972
"EIF1",2.54866801037332e-05,0.706905059656144,1,1,0.411686343715602
"CYSTM1",2.81338094779119e-05,-0.81787843000572,0.929,0.973,0.454445424496711
"FYB1",2.81352770748707e-05,-0.814314091932397,0.929,0.973,0.454469130590387
