"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SYNGR2",1.14874074993247e-223,-0.729721494384775,0.977,0.981,1.85556093336592e-219
"RBBP6",5.59088467889988e-216,1.06193342185936,0.972,0.873,9.03095602182698e-212
"RBM39",5.21665285798929e-202,0.806751495144865,0.988,0.951,8.42645936151009e-198
"USP12",3.51404382500784e-198,0.866099811753962,0.991,0.955,5.67623499053517e-194
"RPS28",5.0710281706614e-197,0.387344396396877,0.999,0.998,8.19123180406936e-193
"HNRNPDL",4.59221363311725e-196,0.712501168122891,0.992,0.969,7.41780268157429e-192
"SRSF5",1.25244620391805e-188,0.640562367356911,0.994,0.963,2.02307635318882e-184
"TNIP1",1.77707337271396e-182,1.09703570348678,0.972,0.888,2.87050661894486e-178
"RYBP",1.29016544231359e-181,0.800577240488579,0.832,0.539,2.08400423896914e-177
"STK4",3.27492060378383e-180,-0.776329188012919,0.397,0.784,5.28997925129202e-176
"RABGEF1",1.14291244699886e-175,0.788345118501889,0.84,0.518,1.84614647563726e-171
"STK17A",1.99411675067859e-175,0.769013459134592,0.906,0.664,3.22109678737113e-171
"HMOX2",2.17720216103101e-175,0.914151225156363,0.743,0.383,3.51683465071339e-171
"MTDH",1.3320864663214e-170,0.772974716805881,0.973,0.932,2.15171926904896e-166
"PRRC2C",9.86384029375717e-170,-0.81986607275947,0.379,0.759,1.5933061226506e-165
"ARPC5",1.66789133849584e-166,-0.874466632339897,0.916,0.953,2.69414487907233e-162
"JPT1",1.23316737221981e-161,0.985775051403477,0.982,0.946,1.99193525634665e-157
"ZFAND5",2.67336590177385e-157,0.651693068879694,0.97,0.894,4.3182879411353e-153
"ACTN1",5.56716790342461e-157,0.853431345113497,0.923,0.7,8.99264631440177e-153
"SRRM1",5.67932331079176e-156,0.681248127057055,0.967,0.9,9.17381094392192e-152
"TOMM20",1.01450494840852e-155,0.812564864858922,0.951,0.869,1.63872984316429e-151
"TSPAN3",1.06397265819342e-151,-0.827391764034057,0.888,0.939,1.71863503477984e-147
"SAFB2",3.85222559023121e-151,0.730625266866445,0.917,0.746,6.22249999590048e-147
"SNRPB2",2.22922237045649e-150,0.680092002407646,0.912,0.784,3.60086289499836e-146
"COPS9",2.39352396754147e-149,0.609947459625037,0.956,0.89,3.86625926476974e-145
"PTGES3",8.029059090086e-148,0.76952492763652,0.976,0.904,1.29693391482159e-143
"SMAP2",1.79721346384333e-146,-0.791600575954609,0.804,0.93,2.90303890814614e-142
"IFRD1",1.27212750458024e-140,0.656290878245506,0.932,0.783,2.05486755814846e-136
"EIF4G2",3.65542834983584e-137,0.727806041972521,0.99,0.963,5.90461341348983e-133
"RBM25",3.74288417699853e-137,0.751121768954484,0.953,0.881,6.04588081110572e-133
"SELPLG",4.24496190185631e-136,-0.874132187475821,0.588,0.813,6.85688696006849e-132
"ARHGAP22",7.41381756368242e-136,-0.55303226065805,0.22,0.575,1.19755395106162e-131
"TRA2B",5.3141447009965e-135,0.750027842788297,0.95,0.865,8.58393793551965e-131
"PAK1IP1",5.03815815934928e-133,0.587456413585842,0.829,0.564,8.1381368747969e-129
"DEPDC7",2.2116397972335e-132,0.804822035974775,0.742,0.441,3.57246176447128e-128
"RAB8B",2.12451379673217e-131,-0.758349960884241,0.84,0.936,3.43172713586147e-127
"RAB9A",7.25402475176964e-131,0.838149348444386,0.955,0.832,1.17174261815335e-126
"ELL2",3.81127659101911e-129,0.554652307816204,0.702,0.359,6.15635507747317e-125
"RNPS1",4.0291186653788e-127,0.64486128552334,0.886,0.757,6.50823538018637e-123
"ZNF622",1.11364110566206e-126,0.523793006413703,0.753,0.473,1.79886447797593e-122
"SMARCA5",3.55941738784691e-126,0.61153887060801,0.956,0.883,5.74952690658911e-122
"SQSTM1",5.05463991533889e-126,0.894727914084643,0.979,0.933,8.16475985524691e-122
