"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KDM6B",2.64263841031195e-14,-1.30743921396015,0.215,0.741,4.26865382417689e-10
"ZFP36",7.28665204160474e-14,-1.33291590672221,0.266,0.807,1.17701290428041e-09
"ENSBTAG00000004043",3.16546008849659e-13,-1.14924116375716,0.304,0.807,5.11316768094853e-09
"BOLA-DMA",4.66716654612497e-13,-0.987095074768399,0.203,0.724,7.53887412195567e-09
"TMSB4X",3.7099687973284e-12,-0.938703079218727,0.937,0.987,5.99271259832456e-08
"RAMP2",1.32487384218784e-11,-0.977880767460939,0.165,0.645,2.14006871728601e-07
"ARHGDIB",1.99056900989592e-11,-0.690834812079948,0.253,0.776,3.21536612168488e-07
"MEF2A",2.60008368372356e-11,-0.875497087129423,0.228,0.675,4.19991517431867e-07
"CNP",2.92956374983578e-11,-0.860812618175883,0.038,0.469,4.73212432510974e-07
"TET2",6.02247525175892e-11,-0.551176548687045,0.051,0.496,9.72810427416619e-07
"HMGB2",6.84148866574728e-11,-0.860510292370967,0.241,0.728,1.10510566417816e-06
"SELL",7.25016179503021e-11,-0.964490998709921,0.19,0.689,1.17111863475123e-06
"SARS1",1.11255273239833e-10,-0.712707750177578,0.266,0.706,1.79710642864302e-06
"EIF5A",1.27743682670653e-10,-0.879181705056997,0.367,0.798,2.06344370617906e-06
"GALNT1",1.34851197552266e-10,-0.781365404427749,0.215,0.68,2.17825139406176e-06
"GLIPR2",1.74130690410982e-10,-0.873904092613639,0.316,0.759,2.8127330422086e-06
"APRT",1.74288160214457e-10,-0.794327997505868,0.405,0.86,2.81527665194413e-06
"RBM3",1.76349020552134e-10,-0.902713728888446,0.304,0.711,2.84856572897862e-06
"XDH",1.76966363300139e-10,-0.848687502809122,0.291,0.75,2.85853766638714e-06
"P4HB",2.14843852910817e-10,-0.721245126153317,0.354,0.794,3.47037275606842e-06
"ATG3",2.30278398364487e-10,-0.661710835167388,0.165,0.623,3.71968696878155e-06
"CSK",2.6265083259203e-10,-0.650597489437038,0.127,0.557,4.24259889885907e-06
"SYNGR2",2.82756041644980e-10,-0.843343353285123,0.241,0.689,4.56735834069135e-06
"ZBTB7A",4.00148327917648e-10,-0.784546454045128,0.177,0.636,6.46359594085377e-06
"ARRB2",4.94043946829139e-10,-0.572858787130428,0.114,0.575,7.98029187313108e-06
"IER5L",5.4223349012304e-10,-1.02123174083344,0.203,0.627,8.75869756595746e-06
"F5",6.55982031954538e-10,-0.548346018607952,0.089,0.518,1.05960777621616e-05
"LMO2",7.00322363199089e-10,-0.7201578401473,0.127,0.557,1.13123071327549e-05
"NIBAN1",7.62745869485729e-10,-0.738255535548927,0.101,0.522,1.2320634029803e-05
"SH3BGRL",9.97496708651329e-10,-0.596739058293511,0.19,0.64,1.61125643348449e-05
"ITM2C",1.02778977290124e-09,-0.568199936584654,0.266,0.746,1.66018882016737e-05
"MMP9",1.09591871005104e-09,3.13712768708884,0.19,0.009,1.77023749234545e-05
"UCP2",1.1116975396132e-09,-0.805318028257444,0.342,0.82,1.79572503573721e-05
"UBL5",1.18216662027188e-09,-0.61958168410565,0.38,0.803,1.90955374172517e-05
"BIN2",1.2231803595996e-09,-0.521429108360036,0.114,0.535,1.97580323486124e-05
"HCK",1.3336859416432e-09,-0.655011472645034,0.101,0.526,2.15430290153627e-05
"ATRX",1.46111532931278e-09,-0.694936478550967,0.165,0.579,2.36013959143894e-05
"ENSBTAG00000009656",1.60824186960945e-09,-0.991458699289252,0.304,0.754,2.59779309198014e-05
"M6PR",1.63486522554998e-09,-0.747891575835813,0.089,0.482,2.64079779883088e-05
"TMEM14C",1.80396711917568e-09,-0.614288342520238,0.266,0.693,2.91394808760447e-05
"PTPN2",1.93949240351973e-09,-0.575749559401936,0.203,0.64,3.13286207940543e-05
"PLAC8B",2.35684604424878e-09,-1.14265522113607,0.152,0.57,3.80701341527505e-05
"VPS26A",2.59216533144276e-09,-0.812021955293458,0.101,0.478,4.1871246598795e-05
"FAM21A",3.07074762459938e-09,-0.267358961792355,0.177,0.636,4.96017863801537e-05
"MYO1F",3.8423644623124e-09,-0.468573889705993,0.177,0.649,6.20657131597322e-05
"RAB8B",4.36266564998949e-09,-0.502995058318845,0.139,0.553,7.04701382442802e-05
"CSF3R",5.30927269807287e-09,-1.27581523684263,0.038,0.395,8.57606818919711e-05
"AK2",5.50829060285247e-09,-0.435093378820227,0.089,0.487,8.89754181078759e-05
"MATR3",5.90802267852356e-09,-0.588789536331565,0.215,0.645,9.54322903261911e-05
"BAZ1A",7.67097525818137e-09,-0.376914381326487,0.152,0.553,0.000123909263345404
"PTP4A2",7.88365119613791e-09,-0.861719185561297,0.354,0.794,0.000127344617771216
"ACTR2",7.91503177580221e-09,-0.467596142989013,0.228,0.649,0.000127851508274533
"CYSTM1",8.34894933041783e-09,-0.6614191581765,0.266,0.728,0.000134860578534239
"NMI",8.56706545698453e-09,-0.468846613489978,0.063,0.447,0.000138383808326671
"BOLA-NC1",8.78613885088507e-09,-0.39044742255856,0.215,0.645,0.000141922500858346
"GDA",8.89870901563963e-09,-0.439354707524613,0.177,0.618,0.000143740846729627
"LYZ",9.41950069982298e-09,-1.24473305915412,0.494,0.899,0.000152153194804241
"PRR5",1.04633205312127e-08,-0.352660108696292,0.19,0.61,0.000169014016540679
"MEFV",1.12444451024978e-08,-1.21264508072068,0.063,0.417,0.000181631521740647
"ZNF638",1.13287991459775e-08,-0.657453692094438,0.076,0.461,0.000182994092604975
"RPS15A",1.20809738830317e-08,-0.779578983357401,0.443,0.846,0.000195143971132612
"FGL2",1.24347470704352e-08,-0.839550353390274,0.405,0.825,0.00020085846942874
"CCPG1",1.26264444030156e-08,-0.48933213527949,0.127,0.522,0.00020395495644191
"PSME2",1.27113813350758e-08,-0.798589732489795,0.19,0.566,0.000205326942705479
"ERH",1.32847906719098e-08,-0.583236243938012,0.278,0.675,0.000214589223723359
"EVI2B",1.37615689990599e-08,-0.528836474300691,0.127,0.504,0.000222290624041814
"IRF5",1.41911707605689e-08,-0.453299412851294,0.291,0.737,0.00022922998129547
"ETV6",1.52317340338536e-08,-0.794863018125963,0.101,0.461,0.000246038199848838
"CNPY3",1.6046140083835e-08,-0.532593737181195,0.152,0.539,0.000259193300774186
"HNRNPUL1",1.77590263108375e-08,-0.393932925088108,0.165,0.557,0.000286861551998958
"FERMT3",1.81071007857216e-08,-0.338546377133081,0.266,0.697,0.000292483998991761
"SMS",1.90679065888129e-08,-0.394953827693159,0.165,0.579,0.000308003895129095
"SKAP2",2.04289597268511e-08,-0.495929412298638,0.291,0.684,0.000329988986467826
"GLIPR1",2.09906670283112e-08,-0.594175477109863,0.19,0.61,0.000339062244508311
"SMIM3",2.18186353010563e-08,-0.645175606876269,0.127,0.526,0.000352436416017962
"ENSBTAG00000049346",2.32020958883222e-08,-0.477448053431887,0.025,0.368,0.000374783454884069
"HNRNPA2B1",2.36653243749728e-08,-0.658772701605161,0.405,0.825,0.000382265984628935
"LY96",2.51329282457377e-08,-0.618651663114514,0.165,0.553,0.000405972189953402
"FCGR2B",2.55501608397471e-08,-0.756996551276482,0.038,0.368,0.000412711748044436
"CHMP2A",2.61389861773151e-08,-0.391430798796415,0.291,0.715,0.000422223043722171
"GNAI2",2.72594900441722e-08,-0.638596786370762,0.519,0.873,0.000440322542683513
"JSP.1",2.7315869447332e-08,-0.656318308570627,0.785,0.939,0.000441233239182754
"PSMB9",2.78055079637269e-08,-0.302553576529655,0.241,0.618,0.000449142370138081
"SYNCRIP",2.87689425804483e-08,-0.480434459285056,0.127,0.5,0.000464704729501981
"FOSB",2.90964998138308e-08,-0.98759763145653,0.278,0.693,0.000469995761492809
"HCLS1",2.93129477384828e-08,-0.403704944960406,0.139,0.531,0.000473492044819713
"TFEC",2.99658760710157e-08,-0.462898887825754,0.076,0.443,0.000484038796175116
"DAGLB",3.11726413091181e-08,-0.349737153321311,0.076,0.443,0.000503531675066185
"TAP2",3.26913251786393e-08,-0.495507695938332,0.114,0.491,0.00052806297561056
"TOP2B",3.44638178917731e-08,-0.667201442702057,0.127,0.496,0.000556694050405811
"SERF2",3.49471803869939e-08,-0.838925241747648,0.481,0.825,0.000564501804791113
"KHDRBS1",3.95968797668161e-08,-0.680832869234193,0.089,0.434,0.000639608398873381
"RHOC",4.06326061619374e-08,0.535167259400424,0.177,0.013,0.000656338487333775
"SHISA5",4.06367505449089e-08,-0.315063252914955,0.253,0.671,0.000656405431551913
"MAT2A",4.3600160964879e-08,-0.682388750412622,0.203,0.583,0.00070427340006569
"PTPRC",4.61192531964737e-08,-0.548259000092627,0.392,0.772,0.000744964296882639
"IL6R",4.96315400503763e-08,-0.334162927416613,0.19,0.623,0.000801698266433728
"MBNL1",5.02888905293012e-08,-0.517232424540601,0.165,0.557,0.000812316448719803
"PPIH",5.21650525743805e-08,-0.570196128253635,0.025,0.338,0.000842622094233968
"TAPBP",5.87903493002485e-08,-0.60233336493813,0.215,0.583,0.000949640512246913
"USP7",5.9365510779494e-08,-0.611804006891679,0.101,0.447,0.000958931095621166
"INPP5D",5.97011427631325e-08,-0.830826972317035,0.114,0.447,0.00096435255905288
"G6PD",6.05889009507594e-08,-0.480105998730313,0.177,0.539,0.000978692517057617
"CNN2",6.17898006454499e-08,-0.786140124961668,0.152,0.522,0.000998090649825952
"PFDN2",6.21582630109057e-08,-0.558649444310547,0.114,0.465,0.00100404242241516
"EIF3A",6.23360215564719e-08,-0.606816634069386,0.266,0.675,0.00100691375620169
"IL13RA1",6.38879566573852e-08,-0.53444828422757,0.215,0.579,0.00103198216388674
"LASP1",6.47576783551008e-08,-0.518370005185284,0.203,0.596,0.00104603077846994
"RIDA",6.88981611975996e-08,-0.680532845192306,0.405,0.807,0.00111291199782483
"APH1A",7.39637802614129e-08,-0.56638081175233,0.101,0.447,0.0011947369425626
"NDUFA1",8.00967124286363e-08,-0.388431582278276,0.316,0.711,0.00129380219585976
"CCL24",8.02418183364942e-08,2.301972788591,0.215,0.031,0.00129614609158939
"FCER1G",8.13690385115092e-08,-0.65617959827261,0.696,0.952,0.00131435407907641
"UBA1",8.19081780621308e-08,-0.653102696204912,0.076,0.412,0.0013230628002376
"ZEB2.1",8.20390432439655e-08,-0.452001471985021,0.089,0.434,0.00132517666551977
"VSIR",8.6445558847898e-08,-0.312733401129724,0.177,0.588,0.0013963551120701
"AKAP13",9.13764605760465e-08,-0.43853143033926,0.215,0.614,0.00147600396768488
"ALOX5AP",9.37898677136372e-08,-0.911397272309279,0.152,0.5,0.00151498773317838
"BOLA",9.64644060236011e-08,-0.599003077331065,0.899,0.965,0.00155818955049923
"UBE2V1",9.77301018606379e-08,-0.57022672152838,0.076,0.417,0.00157863433535488
"TRA2B",9.79313198964784e-08,-0.397415731674568,0.38,0.803,0.00158188461028782
"JUND",1.04476356928e-07,-0.851557132776435,0.494,0.86,0.00168760659345798
"WAPL",1.04751561551954e-07,-0.32148625364426,0.177,0.57,0.00169205197374872
"RIPK1",1.05756674132101e-07,-0.392791357735163,0.114,0.474,0.00170828755725583
"ERBIN",1.06312451239425e-07,-0.325784845026023,0.152,0.522,0.00171726502487043
"TCEA1",1.0660359352149e-07,-0.466043004159368,0.19,0.583,0.00172196784615263
"ARID1A",1.10395789175486e-07,-0.272643772144677,0.127,0.487,0.00178322318255162
"MKNK1",1.11647775073652e-07,-0.35572442011705,0.076,0.425,0.00180344651076471
"TSC22D4",1.13810171501986e-07,-0.408022761002733,0.076,0.425,0.00183837570027158
