"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SAMSN1",0,1.28841858346733,0.977,0.891,0
"PAK2",0,-0.698444520837136,0.451,0.761,0
"SIAH2",0,0.725907281125651,0.868,0.653,0
"RAB9A",0,0.852371531593803,0.97,0.909,0
"LY75",0,-0.997550616722607,0.421,0.745,0
"RNF19B",0,0.890338225211123,0.978,0.894,0
"JAK1",0,-0.770568298930607,0.847,0.952,0
"SMAP2",0,-1.10558802794,0.735,0.931,0
"BTG1",0,0.755808650020674,0.998,0.995,0
"PTGES3",0,0.910372778902453,0.981,0.91,0
"IFRD1",0,0.800903351303397,0.928,0.75,0
"STK17A",0,0.905851764169184,0.838,0.534,0
"DAPP1",0,-0.90161712308472,0.424,0.72,0
"BMP2K",0,-1.00639882041772,0.408,0.754,0
"ZFAND5",0,0.726408014706324,0.943,0.817,0
"RPS28",0,0.395166398765491,0.999,0.998,0
"SAFB2",0,0.873161417302724,0.93,0.762,0
"TNIP1",0,1.63807150115303,0.98,0.887,0
"ELL2",0,0.748410774850278,0.792,0.407,0
"HSPA5",0,1.08382437700161,0.986,0.958,0
"SNX3",0,-0.690521294565359,0.339,0.698,0
"RAB8B",0,-0.863745573482083,0.738,0.9,0
"MAPK6",0,0.76812308282212,0.937,0.765,0
"AKAP5",0,-0.903336482189829,0.261,0.641,0
"ACTN1",0,0.938135943866397,0.854,0.594,0
"SRSF5",0,0.651635608750039,0.991,0.98,0
"NUFIP1",0,0.776242999397008,0.78,0.429,0
"LCP1",0,-1.11443915333939,0.744,0.908,0
"USP12",0,0.946845365599328,0.988,0.948,0
"EIF4G2",0,0.835355767179531,0.992,0.981,0
"SNRPB",0,0.606820515651694,0.925,0.785,0
"RBM39",0,0.6721736177073,0.992,0.974,0
"STK4",0,-1.24965825264154,0.384,0.835,0
"RIPK2",0,0.81002518677484,0.835,0.546,0
"PRRC2C",0,-1.1177559459137,0.333,0.778,0
"ISG15",0,2.0512440315076,0.697,0.246,0
"EFHD2",0,1.02472902137745,0.972,0.892,0
"CEP350",0,-1.01673927701078,0.62,0.899,0
"ARPC5",0,-0.987189821066784,0.889,0.95,0
"UBC",0,0.960361501743931,0.995,0.994,0
"SELPLG",0,-1.07882853698853,0.553,0.801,0
"BCL2A1",0,0.994846588143456,0.994,0.989,0
"TSPAN3",0,-1.206888727854,0.878,0.963,0
"TRAF3",0,0.727361432979082,0.804,0.537,0
"UBE2S",0,0.959104959253595,0.866,0.665,0
"DYNLL2",0,1.01144920375837,0.854,0.644,0
"PFN1",0,-0.637629843097898,0.989,0.991,0
"SYNGR2",0,-0.956246349300026,0.959,0.989,0
"JPT1",0,0.96315727865968,0.971,0.908,0
"CDC42EP4",0,0.968548464862161,0.767,0.389,0
"RYBP",0,1.0161531550084,0.895,0.598,0
"CTSC",0,-1.1736731771297,0.696,0.886,0
"TOMM20",0,0.672991019494068,0.948,0.859,0
